"Time (UTC)","Telescope (# Unique Source IPs)","BGP (#Visible /24s)","Active Probing (#/24s Up)"
"2022-09-02 15:30:00",23.626373626373628,99.90869664460169,99.7148288973384
"2022-09-02 15:45:00",26.373626373626376,99.90869664460169,97.71863117870723
"2022-09-02 16:00:00",30.21978021978022,99.90869664460169,98.38403041825094
"2022-09-02 16:15:00",21.42857142857143,99.90869664460169,94.86692015209125
"2022-09-02 16:30:00",26.923076923076923,99.90869664460169,97.14828897338404
"2022-09-02 16:45:00",26.923076923076923,99.90869664460169,98.47908745247148
"2022-09-02 17:00:00",32.417582417582416,99.90869664460169,100
"2022-09-02 17:15:00",27.472527472527474,99.90869664460169,97.33840304182509
"2022-09-02 17:30:00",29.120879120879124,99.90869664460169,98.95437262357414
"2022-09-02 17:45:00",27.472527472527474,99.90869664460169,96.7680608365019
"2022-09-02 18:00:00",31.868131868131872,99.90869664460169,97.71863117870723
"2022-09-02 18:15:00",25.27472527472528,99.90869664460169,97.90874524714829
"2022-09-02 18:30:00",24.175824175824175,99.90869664460169,96.57794676806084
"2022-09-02 18:45:00",31.318681318681318,99.90869664460169,96.95817490494296
"2022-09-02 19:00:00",35.16483516483517,99.90869664460169,95.34220532319392
"2022-09-02 19:15:00",30.76923076923077,99.90869664460169,95.24714828897338
"2022-09-02 19:30:00",30.76923076923077,99.90869664460169,96.86311787072243
"2022-09-02 19:45:00",31.318681318681318,99.90869664460169,96.38783269961976
"2022-09-02 20:00:00",31.868131868131872,99.90869664460169,96.95817490494296
"2022-09-02 20:15:00",27.472527472527474,99.90869664460169,96.00760456273764
"2022-09-02 20:30:00",28.021978021978022,99.90869664460169,94.01140684410646
"2022-09-02 20:45:00",25.27472527472528,99.90869664460169,95.43726235741445
"2022-09-02 21:00:00",26.373626373626376,99.90869664460169,95.15209125475285
"2022-09-02 21:15:00",21.42857142857143,99.90869664460169,93.72623574144487
"2022-09-02 21:30:00",26.923076923076923,99.90869664460169,93.72623574144487
"2022-09-02 21:45:00",27.472527472527474,99.90869664460169,93.72623574144487
"2022-09-02 22:00:00",28.571428571428577,99.90869664460169,94.10646387832699
"2022-09-02 22:15:00",24.175824175824175,99.90869664460169,94.48669201520913
"2022-09-02 22:30:00",25.27472527472528,99.90869664460169,94.67680608365019
"2022-09-02 22:45:00",23.076923076923077,99.90869664460169,94.29657794676805
"2022-09-02 23:00:00",32.967032967032964,99.90869664460169,93.91634980988593
"2022-09-02 23:15:00",24.175824175824175,99.90869664460169,94.86692015209125
"2022-09-02 23:30:00",21.978021978021978,99.90869664460169,95.24714828897338
"2022-09-02 23:45:00",26.373626373626376,99.90869664460169,94.48669201520913
"2022-09-03 00:00:00",21.42857142857143,99.90869664460169,95.72243346007605
"2022-09-03 00:15:00",29.67032967032967,99.90869664460169,94.48669201520913
"2022-09-03 00:30:00",22.52747252747253,99.90869664460169,93.44106463878326
"2022-09-03 00:45:00",27.472527472527474,99.90869664460169,91.82509505703422
"2022-09-03 01:00:00",25.82417582417583,99.90869664460169,92.01520912547528
"2022-09-03 01:15:00",21.42857142857143,99.90869664460169,93.15589353612167
"2022-09-03 01:30:00",24.175824175824175,99.90869664460169,95.43726235741445
"2022-09-03 01:45:00",21.978021978021978,99.90869664460169,96.95817490494296
"2022-09-03 02:00:00",29.120879120879124,99.90869664460169,95.24714828897338
"2022-09-03 02:15:00",28.021978021978022,99.90869664460169,95.24714828897338
"2022-09-03 02:30:00",27.472527472527474,99.90869664460169,93.15589353612167
"2022-09-03 02:45:00",29.120879120879124,99.90869664460169,95.43726235741445
"2022-09-03 03:00:00",40.659340659340664,99.90869664460169,93.5361216730038
"2022-09-03 03:15:00",69.78021978021978,99.90869664460169,95.05703422053232
"2022-09-03 03:30:00",90.10989010989012,99.90869664460169,94.48669201520913
"2022-09-03 03:45:00",85.16483516483517,99.90869664460169,96.1977186311787
"2022-09-03 04:00:00",80.76923076923079,99.90869664460169,95.43726235741445
"2022-09-03 04:15:00",68.13186813186815,99.90869664460169,95.24714828897338
"2022-09-03 04:30:00",58.24175824175825,99.90869664460169,94.96197718631178
"2022-09-03 04:45:00",67.03296703296702,99.90869664460169,94.10646387832699
"2022-09-03 05:00:00",78.88540031397174,99.90869664460169,93.63117870722434
"2022-09-03 05:15:00",100,99.90869664460169,91.82509505703422
"2022-09-03 05:30:00",75.82417582417582,99.90869664460169,92.20532319391636
"2022-09-03 05:45:00",73.62637362637363,99.90869664460169,95.62737642585552
"2022-09-03 06:00:00",69.23076923076924,99.90869664460169,95.24714828897338
"2022-09-03 06:15:00",68.68131868131869,99.90869664460169,94.67680608365019
"2022-09-03 06:30:00",65.38461538461539,99.90869664460169,96.48288973384031
"2022-09-03 06:45:00",53.84615384615385,99.90869664460169,95.24714828897338
"2022-09-03 07:00:00",63.1868131868132,99.90869664460169,95.34220532319392
"2022-09-03 07:15:00",63.736263736263744,99.90869664460169,95.81749049429658
"2022-09-03 07:30:00",54.94505494505495,99.90869664460169,98.00380228136882
"2022-09-03 07:45:00",62.637362637362635,99.90869664460169,98.47908745247148
"2022-09-03 08:00:00",60.43956043956044,99.90869664460169,96.86311787072243
"2022-09-03 08:15:00",54.395604395604394,99.90869664460169,96.57794676806084
"2022-09-03 08:30:00",54.395604395604394,99.90869664460169,98.09885931558935
"2022-09-03 08:45:00",48.901098901098905,99.90869664460169,99.61977186311786
"2022-09-03 09:00:00",53.2967032967033,99.93152248345126,99.61977186311786
"2022-09-03 09:15:00",45.604395604395606,99.90869664460169,97.52851711026615
"2022-09-03 09:30:00",53.84615384615385,99.90869664460169,97.81368821292776
"2022-09-03 09:45:00",47.252747252747255,99.90869664460169,96.00760456273764
"2022-09-03 10:00:00",39.010989010989015,99.90869664460169,96.1977186311787
"2022-09-03 10:15:00",39.010989010989015,99.90869664460169,97.90874524714829
"2022-09-03 10:30:00",42.85714285714286,99.90869664460169,95.72243346007605
"2022-09-03 10:45:00",53.84615384615385,99.90869664460169,93.91634980988593
"2022-09-03 11:00:00",42.307692307692314,99.90869664460169,91.25475285171103
"2022-09-03 11:15:00",35.714285714285715,99.90869664460169,91.25475285171103
"2022-09-03 11:30:00",29.67032967032967,99.90869664460169,91.73003802281369
"2022-09-03 11:45:00",32.967032967032964,99.90869664460169,95.05703422053232
"2022-09-03 12:00:00",30.76923076923077,99.90869664460169,92.11026615969583
"2022-09-03 12:15:00",34.61538461538462,99.90869664460169,95.81749049429658
"2022-09-03 12:30:00",31.868131868131872,99.90869664460169,94.96197718631178
"2022-09-03 12:45:00",32.967032967032964,99.90869664460169,94.10646387832699
"2022-09-03 13:00:00",31.318681318681318,99.90869664460169,93.5361216730038
"2022-09-03 13:15:00",29.67032967032967,99.90869664460169,92.39543726235742
"2022-09-03 13:30:00",34.06593406593407,99.90869664460169,88.97338403041825
"2022-09-03 13:45:00",37.362637362637365,99.90869664460169,89.35361216730038
"2022-09-03 14:00:00",36.81318681318682,99.90869664460169,89.73384030418251
"2022-09-03 14:15:00",29.67032967032967,99.90869664460169,92.58555133079848
"2022-09-03 14:30:00",37.362637362637365,99.90869664460169,91.63498098859316
"2022-09-03 14:45:00",40.10989010989011,99.90869664460169,92.77566539923954
"2022-09-03 15:00:00",25.82417582417583,99.90869664460169,95.43726235741445
"2022-09-03 15:15:00",30.76923076923077,99.90869664460169,93.91634980988593
"2022-09-03 15:30:00",31.868131868131872,99.90869664460169,94.48669201520913
"2022-09-03 15:45:00",32.417582417582416,99.90869664460169,92.9657794676806
"2022-09-03 16:00:00",33.51648351648351,99.90869664460169,93.44106463878326
"2022-09-03 16:15:00",30.21978021978022,99.90869664460169,91.4448669201521
"2022-09-03 16:30:00",32.417582417582416,99.90869664460169,91.06463878326996
"2022-09-03 16:45:00",33.51648351648351,99.90869664460169,92.39543726235742
"2022-09-03 17:00:00",36.26373626373627,99.90869664460169,94.77186311787072
"2022-09-03 17:15:00",35.714285714285715,99.90869664460169,94.10646387832699
"2022-09-03 17:30:00",36.26373626373627,99.90869664460169,92.87072243346007
"2022-09-03 17:45:00",30.21978021978022,99.90869664460169,94.10646387832699
"2022-09-03 18:00:00",26.373626373626376,99.90869664460169,92.58555133079848
