"Time (UTC)","Google (Search)","Telescope (# Unique Source IPs)","BGP (#Visible /24s)","Active Probing (#/24s Up)"
"2022-08-31 15:30:00",50.962180690554234,34.42226255293406,99.3450503892209,99.0643788421266
"2022-08-31 15:45:00",,35.874168179068356,99.3450503892209,98.83131797608593
"2022-08-31 16:00:00",55.28475753266194,35.63218390804598,99.3450503892209,98.98669188677971
"2022-08-31 16:15:00",,35.05747126436781,99.3450503892209,98.90562723772209
"2022-08-31 16:30:00",59.94057856960543,34.42226255293406,99.3450503892209,99.00695804904412
"2022-08-31 16:45:00",,33.18209316394435,99.3450503892209,98.77051948929271
"2022-08-31 17:00:00",63.427303101622186,35.93466424682396,99.3450503892209,98.60501249746673
"2022-08-31 17:15:00",,35.99516031457955,99.3450503892209,98.44626089306222
"2022-08-31 17:30:00",65.09233472344685,33.66606170598911,99.3450503892209,98.66918867797068
"2022-08-31 17:45:00",,34.54325468844525,99.3450503892209,98.51381476727691
"2022-08-31 18:00:00",69.15146806908716,34.05928614640048,99.3450503892209,98.55096939809498
"2022-08-31 18:15:00",,35.81367211131277,99.3450503892209,98.3179085320543
"2022-08-31 18:30:00",71.41943748278457,35.208711433756804,99.3450503892209,98.39897318111194
"2022-08-31 18:45:00",,32.78886872353297,99.3450503892209,98.29764236978991
"2022-08-31 19:00:00",71.52671567983869,30.369026013309135,99.3450503892209,98.3955954874012
"2022-08-31 19:15:00",,32.57713248638838,99.3450503892209,98.34493008174019
"2022-08-31 19:30:00",69.84439599793136,32.940108892921955,99.3450503892209,98.11186921569953
"2022-08-31 19:45:00",,30.066545674531152,99.3450503892209,97.88556373708032
"2022-08-31 20:00:00",65.81858668792606,32.21415607985481,99.3450503892209,98.00378301695602
"2022-08-31 20:15:00",,29.643073200241982,99.3450503892209,97.953117611295
"2022-08-31 20:30:00",59.73787263910329,29.038112522686028,99.3450503892209,97.70654597041141
"2022-08-31 20:45:00",,31.33696309739867,99.3450503892209,97.37890968047017
"2022-08-31 21:00:00",53.96831275473378,31.669691470054445,99.3450503892209,97.3316219685199
"2022-08-31 21:15:00",,28.402903811252266,99.3450503892209,96.82496791190974
"2022-08-31 21:30:00",48.019319814397086,30.308529945553538,99.32226314125889,96.5243531716544
"2022-08-31 21:45:00",,29.885057471264364,99.3450503892209,96.78443558738094
"2022-08-31 22:00:00",41.60997770665536,30.187537810042347,99.3450503892209,96.29129230561372
"2022-08-31 22:15:00",,30.701754385964914,99.3450503892209,95.41309194082281
"2022-08-31 22:30:00",33.69370313515835,30.096793708408953,99.3450503892209,95.36242653516179
"2022-08-31 22:45:00",,31.639443436176652,99.3450503892209,94.92670404647706
"2022-08-31 23:00:00",26.848093387850895,31.69993950393224,99.34431531670599,95.07870026346012
"2022-08-31 23:15:00",,33.54506957047792,99.3435802441911,94.85239478484091
"2022-08-31 23:30:00",21.240768223970754,31.276467029643072,99.3450503892209,94.6159562250895
"2022-08-31 23:45:00",,30.641258318209314,99.3450503892209,93.75126663514153
"2022-09-01 00:00:00",16.665476957530082,32.274652147610404,99.3450503892209,93.90326285212457
"2022-09-01 00:15:00",,30.399274047186932,99.3450503892209,93.78504357224887
"2022-09-01 00:30:00",13.669644670221029,30.157289776164546,99.3450503892209,93.18381409173816
"2022-09-01 00:45:00",,30.580762250453724,99.3450503892209,93.17705870431669
"2022-09-01 01:00:00",11.744965469872767,28.705384150030245,99.3450503892209,92.91022090116869
"2022-09-01 01:15:00",,29.189352692075012,99.3450503892209,92.56231844896304
"2022-09-01 01:30:00",11.237680971698223,31.82093163944344,99.3450503892209,92.55218536783084
"2022-09-01 01:45:00",,29.703569267997583,99.3450503892209,92.42721070053368
"2022-09-01 02:00:00",12.650496717134557,30.913490623109503,99.3450503892209,91.85300276970885
"2022-09-01 02:15:00",,31.397459165154267,99.3450503892209,92.3123691143687
"2022-09-01 02:30:00",15.205031287640198,34.84573502722323,99.3450503892209,91.95095588732013
"2022-09-01 02:45:00",,39.897156684815485,99.3450503892209,92.22454907788962
"2022-09-01 03:00:00",19.288877961113602,51.633393829401086,99.3450503892209,92.30899142065797
"2022-09-01 03:15:00",,61.826981246219006,99.3450503892209,92.8528001080862
