"Time (UTC)","Telescope (# Unique Source IPs)","BGP (#Visible /24s)","Active Probing (#/24s Up)"
"2022-09-02 15:30:00",24.194429273620973,98.90036654448518,96.20121951219512
"2022-09-02 15:45:00",24.412889131622066,98.90036654448518,95.95121951219512
"2022-09-02 16:00:00",17.804478427089023,98.90036654448518,96.42073170731707
"2022-09-02 16:15:00",23.320589841616602,98.90036654448518,96.08536585365853
"2022-09-02 16:30:00",23.702894593118515,98.90036654448518,96.54268292682927
"2022-09-02 16:45:00",25.61441835062807,98.90036654448518,96.20731707317073
"2022-09-02 17:00:00",24.030584380120153,98.90036654448518,95.9329268292683
"2022-09-02 17:15:00",22.829055161114145,98.90036654448518,96.08536585365853
"2022-09-02 17:30:00",22.337520480611687,98.58047317560813,96.40243902439025
"2022-09-02 17:45:00",21.026761332605133,98.58047317560813,96.30487804878048
"2022-09-02 18:00:00",22.66521026761333,98.58047317560813,96.45121951219512
"2022-09-02 18:15:00",23.047515019115238,98.58047317560813,96.71951219512195
"2022-09-02 18:30:00",21.736755871108684,98.58047317560813,96.76829268292683
"2022-09-02 18:45:00",21.955215729109778,98.58047317560813,97.07317073170731
"2022-09-02 19:00:00",22.7198252321136,98.58047317560813,96.95731707317073
"2022-09-02 19:15:00",24.576734025122885,98.58047317560813,96.8170731707317
"2022-09-02 19:30:00",24.52211906062261,98.58047317560813,96.6341463414634
"2022-09-02 19:45:00",23.866739486619334,98.58047317560813,96.10975609756098
"2022-09-02 20:00:00",24.35827416712179,98.58047317560813,96.22560975609757
"2022-09-02 20:15:00",22.938285090114693,98.58047317560813,96.08536585365853
"2022-09-02 20:30:00",19.770617149098854,98.58047317560813,95.83536585365854
"2022-09-02 20:45:00",19.770617149098854,98.58047317560813,95.8170731707317
"2022-09-02 21:00:00",21.354451119606775,98.58047317560813,96.0609756097561
"2022-09-02 21:15:00",22.282905516111416,98.68710429856714,95.47560975609755
"2022-09-02 21:30:00",22.39213544511196,98.58047317560813,94.90853658536585
"2022-09-02 21:45:00",22.829055161114145,98.58047317560813,94.4390243902439
"2022-09-02 22:00:00",22.610595303113055,98.58047317560813,94.5548780487805
"2022-09-02 22:15:00",21.409066084107046,98.58047317560813,93.63414634146342
"2022-09-02 22:30:00",20.42599672310213,98.58047317560813,93.9939024390244
"2022-09-02 22:45:00",22.228290551611142,98.58047317560813,93.59756097560977
"2022-09-02 23:00:00",24.249044238121247,98.58047317560813,93.34756097560975
"2022-09-02 23:15:00",22.119060622610593,98.58047317560813,93
"2022-09-02 23:30:00",25.177498634625888,98.58047317560813,92.46951219512195
"2022-09-02 23:45:00",24.412889131622066,98.58047317560813,92.25609756097562
"2022-09-03 00:00:00",22.829055161114145,98.58047317560813,92.1219512195122
"2022-09-03 00:15:00",24.249044238121247,98.58047317560813,91.3780487804878
"2022-09-03 00:30:00",22.446750409612235,98.58047317560813,90.9451219512195
"2022-09-03 00:45:00",21.955215729109778,98.58047317560813,90.3658536585366
"2022-09-03 01:00:00",22.337520480611687,98.58047317560813,90.16463414634146
"2022-09-03 01:15:00",22.39213544511196,98.58047317560813,89.73170731707317
"2022-09-03 01:30:00",21.736755871108684,98.58047317560813,89.3719512195122
"2022-09-03 01:45:00",21.627525942108136,98.58047317560813,89.60975609756098
"2022-09-03 02:00:00",21.845985800109233,98.58047317560813,89.1829268292683
"2022-09-03 02:15:00",26.488257782632445,98.58047317560813,89.3780487804878
"2022-09-03 02:30:00",25.94210813762971,98.58047317560813,89.82317073170731
"2022-09-03 02:45:00",37.5204806116876,98.58047317560813,89.97560975609757
"2022-09-03 03:00:00",51.174221736755875,98.58047317560813,89.89634146341463
"2022-09-03 03:15:00",63.40797378481705,98.58047317560813,90.69512195121952
"2022-09-03 03:30:00",80.83014746040416,98.58047317560813,91.14634146341464
"2022-09-03 03:45:00",87.2200983069361,98.68710429856714,91.41463414634147
"2022-09-03 04:00:00",82.03167667941017,98.90036654448518,92.29268292682927
