"Time (UTC)","Telescope (# Unique Source IPs)","BGP (#Visible /24s)","Active Probing (#/24s Up)"
"2022-09-02 15:30:00",20.930232558139533,100,95.74468085106383
"2022-09-02 15:45:00",11.627906976744185,100,96.45390070921985
"2022-09-02 16:00:00",3.171247357293869,100,98.93617021276596
"2022-09-02 16:15:00",11.627906976744185,100,100
"2022-09-02 16:30:00",4.651162790697675,100,98.58156028368793
"2022-09-02 16:45:00",9.30232558139535,100,97.87234042553192
"2022-09-02 17:00:00",6.976744186046512,100,96.80851063829788
"2022-09-02 17:15:00",6.976744186046512,100,96.45390070921985
"2022-09-02 17:30:00",9.30232558139535,100,96.09929078014184
"2022-09-02 17:45:00",6.976744186046512,100,95.0354609929078
"2022-09-02 18:00:00",17.441860465116278,100,98.93617021276596
"2022-09-02 18:15:00",16.27906976744186,100,97.16312056737588
"2022-09-02 18:30:00",16.27906976744186,100,96.09929078014184
"2022-09-02 18:45:00",9.30232558139535,100,96.45390070921985
"2022-09-02 19:00:00",14.534883720930234,100,96.09929078014184
"2022-09-02 19:15:00",13.953488372093023,100,97.87234042553192
"2022-09-02 19:30:00",18.6046511627907,100,96.45390070921985
"2022-09-02 19:45:00",9.30232558139535,100,95.0354609929078
"2022-09-02 20:00:00",12.458471760797343,100,95.74468085106383
"2022-09-02 20:15:00",11.627906976744185,100,95.0354609929078
"2022-09-02 20:30:00",9.30232558139535,100,95.74468085106383
"2022-09-02 20:45:00",13.953488372093023,100,97.87234042553192
"2022-09-02 21:00:00",12.684989429175475,100,96.80851063829788
"2022-09-02 21:15:00",16.27906976744186,100,96.45390070921985
"2022-09-02 21:30:00",13.953488372093023,100,96.80851063829788
"2022-09-02 21:45:00",11.627906976744185,100,95.74468085106383
"2022-09-02 22:00:00",32.55813953488372,100,94.68085106382979
"2022-09-02 22:15:00",16.27906976744186,100,93.61702127659575
"2022-09-02 22:30:00",9.30232558139535,100,96.45390070921985
"2022-09-02 22:45:00",11.627906976744185,100,95.74468085106383
"2022-09-02 23:00:00",20.930232558139533,100,96.45390070921985
"2022-09-02 23:15:00",9.30232558139535,100,97.87234042553192
"2022-09-02 23:30:00",9.30232558139535,100,95.74468085106383
"2022-09-02 23:45:00",11.627906976744185,100,94.32624113475178
"2022-09-03 00:00:00",10.465116279069766,100,95.74468085106383
"2022-09-03 00:15:00",9.30232558139535,100,92.90780141843972
"2022-09-03 00:30:00",16.27906976744186,100,92.5531914893617
"2022-09-03 00:45:00",9.30232558139535,100,90.78014184397163
"2022-09-03 01:00:00",6.976744186046512,100,90.42553191489363
"2022-09-03 01:15:00",9.30232558139535,100,92.19858156028369
"2022-09-03 01:30:00",11.627906976744185,100,91.13475177304964
"2022-09-03 01:45:00",13.953488372093023,100,90.0709219858156
"2022-09-03 02:00:00",6.976744186046512,100,87.58865248226951
"2022-09-03 02:15:00",16.27906976744186,100,90.78014184397163
"2022-09-03 02:30:00",23.25581395348837,100,90.78014184397163
"2022-09-03 02:45:00",55.81395348837209,100,91.48936170212765
"2022-09-03 03:00:00",42.35880398671096,100,94.32624113475178
"2022-09-03 03:15:00",48.837209302325576,100,93.61702127659575
"2022-09-03 03:30:00",88.3720930232558,100,95.0354609929078
"2022-09-03 03:45:00",60.46511627906976,100,95.74468085106383
"2022-09-03 04:00:00",55.81395348837209,100,96.80851063829788
"2022-09-03 04:15:00",62.7906976744186,100,96.45390070921985
"2022-09-03 04:30:00",60.46511627906976,100,97.16312056737588
"2022-09-03 04:45:00",69.76744186046511,100,95.74468085106383
"2022-09-03 05:00:00",42.933810375670845,100,96.09929078014184
"2022-09-03 05:15:00",62.7906976744186,100,97.16312056737588
"2022-09-03 05:30:00",39.53488372093023,100,97.51773049645391
"2022-09-03 05:45:00",55.81395348837209,100,95.0354609929078
"2022-09-03 06:00:00",39.53488372093023,100,96.80851063829788
"2022-09-03 06:15:00",51.16279069767441,100,95.0354609929078
